"Dani Alves|50139|23|5.71428571428571" "Darijo Srna|52707|33|5.71428571428571" "Gregory van der Wiel|52747|23|5.71428571428571" "Ludwig Augustinsson|52709|3|5.71428571428571" "Mathias Jørgensen|52709|25|5.71428571428571"
"Dani Alves|50139|23|5.71428571428571" "Darijo Srna|52707|33|5.71428571428571" "Gregory van der Wiel|52747|23|5.71428571428571" "Marin Aničić|2600605|5|5.71428571428571" "Mathias Jørgensen|52709|25|5.71428571428571"
"Dani Alves|50139|23|5.71428571428571" "Darijo Srna|52707|33|5.71428571428571" "Gregory van der Wiel|52747|23|5.71428571428571" "Mathias Jørgensen|52709|25|5.71428571428571" "Nektarios Alexandrou|50118|11|6.14285714285714"
"Dani Alves|50139|23|6.14285714285714" "Darijo Srna|52707|33|6.14285714285714" "Gregory van der Wiel|52747|23|6.14285714285714" "Mathias Jørgensen|52709|25|6.14285714285714" "Sergio Escudero|52714|18|6.14285714285714"
"Dani Alves|50139|23|6.14285714285714" "Darijo Srna|52707|33|6.14285714285714" "Ludwig Augustinsson|52709|3|6.14285714285714" "Marin Aničić|2600605|5|6.14285714285714" "Mathias Jørgensen|52709|25|6.14285714285714"
"Dani Alves|50139|23|6.14285714285714" "Darijo Srna|52707|33|6.14285714285714" "Ludwig Augustinsson|52709|3|6.14285714285714" "Marin Aničić|2600605|5|6.14285714285714" "Nektarios Alexandrou|50118|11|6.14285714285714"
"Dani Alves|50139|23|6.14285714285714" "Darijo Srna|52707|33|6.14285714285714" "Ludwig Augustinsson|52709|3|6.14285714285714" "Mathias Jørgensen|52709|25|5.28571428571429" "Nektarios Alexandrou|50118|11|5.42857142857143"
"Dani Alves|50139|23|5.42857142857143" "Darijo Srna|52707|33|5.42857142857143" "Ludwig Augustinsson|52709|3|5.57142857142857" "Mathias Jørgensen|52709|25|5.28571428571429" "Sergio Escudero|52714|18|5.28571428571429"
"Dani Alves|50139|23|5.28571428571429" "Darijo Srna|52707|33|5.28571428571429" "Marin Aničić|2600605|5|5.42857142857143" "Mathias Jørgensen|52709|25|5.42857142857143" "Nektarios Alexandrou|50118|11|5.42857142857143"
"Dani Alves|50139|23|5.42857142857143" "Darijo Srna|52707|33|5.57142857142857" "Marin Aničić|2600605|5|5.57142857142857" "Mathias Jørgensen|52709|25|5.57142857142857" "Sergio Escudero|52714|18|5.57142857142857"
"Dani Alves|50139|23|5.85714285714286" "Darijo Srna|52707|33|5.85714285714286" "Marin Aničić|2600605|5|5.57142857142857" "Mathias Jørgensen|52709|25|5.57142857142857" "Wes Morgan|53577|5|5.57142857142857"
"Dani Alves|50139|23|5.85714285714286" "Darijo Srna|52707|33|5.85714285714286" "Marin Aničić|2600605|5|5.42857142857143" "Nektarios Alexandrou|50118|11|5.57142857142857" "Sergio Escudero|52714|18|5.85714285714286"
"Dani Alves|50139|23|5.85714285714286" "Darijo Srna|52707|33|5.57142857142857" "Mathias Jørgensen|52709|25|5.57142857142857" "Nektarios Alexandrou|50118|11|5.85714285714286" "Sergio Escudero|52714|18|5.85714285714286"
"Dani Alves|50139|23|5.85714285714286" "Darijo Srna|52707|33|5.85714285714286" "Mathias Jørgensen|52709|25|5.85714285714286" "Nektarios Alexandrou|50118|11|5.57142857142857" "Wes Morgan|53577|5|5.57142857142857"
"Darijo Srna|52707|33|5.57142857142857" "Gregory van der Wiel|52747|23|5.85714285714286" "Marin Aničić|2600605|5|5.85714285714286" "Mathias Jørgensen|52709|25|5.85714285714286" "Nektarios Alexandrou|50118|11|5.57142857142857"
"Darijo Srna|52707|33|5.57142857142857" "Ludwig Augustinsson|52709|3|5.85714285714286" "Marin Aničić|2600605|5|5.85714285714286" "Mathias Jørgensen|52709|25|5.57142857142857" "Nektarios Alexandrou|50118|11|5.42857142857143"
"Darijo Srna|52707|33|5.85714285714286" "Ludwig Augustinsson|52709|3|5.57142857142857" "Marin Aničić|2600605|5|5.57142857142857" "Mathias Jørgensen|52709|25|5.42857142857143" "Sergio Escudero|52714|18|5.57142857142857"
"Darijo Srna|52707|33|5.42857142857143" "Ludwig Augustinsson|52709|3|5.14285714285714" "Mathias Jørgensen|52709|25|5.42857142857143" "Nektarios Alexandrou|50118|11|5.42857142857143" "Sergio Escudero|52714|18|5.14285714285714"
"Darijo Srna|52707|33|5.57142857142857" "Marin Aničić|2600605|5|5.57142857142857" "Mathias Jørgensen|52709|25|5.42857142857143" "Nektarios Alexandrou|50118|11|5.42857142857143" "Sergio Escudero|52714|18|5.42857142857143"
