"Alexis Sánchez|52280|17|5.42857142857143" "Cristiano Ronaldo|50051|7|5.42857142857143" "Edinson Cavani|52747|9|5.42857142857143"
"Alexis Sánchez|52280|17|8.57142857142857" "Cristiano Ronaldo|50051|7|8.57142857142857" "Raffael|52757|11|8.57142857142857"
"Alexis Sánchez|52280|17|8.57142857142857" "Cristiano Ronaldo|50051|7|8.57142857142857" "Robert Lewandowski|50037|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Dmitri Poloz|64500|7|8.57142857142857" "Edinson Cavani|52747|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Dmitri Poloz|64500|7|8.57142857142857" "Robert Lewandowski|50037|9|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Edinson Cavani|52747|9|8.57142857142857" "Kylian Mbappé|50023|29|8.57142857142857"
"Cristiano Ronaldo|50051|7|8.57142857142857" "Edinson Cavani|52747|9|5.14285714285714" "Neymar|50080|11|5.14285714285714"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Edinson Cavani|52747|9|6.42857142857143" "Pierre-Emerick Aubameyang|52758|17|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Edinson Cavani|52747|9|6.42857142857143" "Raffael|52757|11|5.42857142857143"
"Cristiano Ronaldo|50051|7|5.42857142857143" "Edinson Cavani|52747|9|5" "Robert Lewandowski|50037|9|5.28571428571428"
"Cristiano Ronaldo|50051|7|5.28571428571428" "Kylian Mbappé|50023|29|6.14285714285714" "Raffael|52757|11|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.14285714285714" "Kylian Mbappé|50023|29|6.42857142857143" "Robert Lewandowski|50037|9|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.42857142857143" "Neymar|50080|11|5.42857142857143" "Robert Lewandowski|50037|9|5"
"Cristiano Ronaldo|50051|7|5.28571428571428" "Pierre-Emerick Aubameyang|52758|17|6.14285714285714" "Raffael|52757|11|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.14285714285714" "Pierre-Emerick Aubameyang|52758|17|6.42857142857143" "Robert Lewandowski|50037|9|6.42857142857143"
"Cristiano Ronaldo|50051|7|6.14285714285714" "Raffael|52757|11|6.42857142857143" "Robert Lewandowski|50037|9|6.42857142857143"
